emotion,layer,feature_id,selectivity
Joy,24,1306,19.72010612487793
Joy,25,13068,19.676002502441406
Joy,23,5285,15.83405590057373
Joy,23,5256,15.43931770324707
Joy,24,16066,15.018176078796387
Joy,25,3943,14.707052230834961
Joy,22,12943,12.19533920288086
Joy,25,15442,11.808207511901855
Joy,21,1197,9.903526306152344
Joy,23,12300,8.912630081176758
Joy,22,14802,8.889083862304688
Joy,20,4305,8.856022834777832
Sadness,25,66,17.46426010131836
Sadness,23,10969,13.846455574035645
Sadness,22,10572,12.465041160583496
Sadness,24,10374,11.468979835510254
Sadness,19,6134,9.148740768432617
Sadness,21,4801,8.979793548583984
Sadness,23,3432,8.64975357055664
Sadness,24,3720,8.480545043945312
Sadness,25,9564,8.417736053466797
Sadness,22,3281,8.334171295166016
Sadness,20,15539,8.160390853881836
Sadness,18,11186,7.7667012214660645
Anger,25,8662,37.70390319824219
Anger,24,11139,21.550321578979492
Anger,23,11903,18.582792282104492
Anger,25,4493,16.602771759033203
Anger,25,16271,14.435818672180176
Anger,24,4621,14.183176040649414
Anger,22,14916,11.442474365234375
Anger,22,8535,11.363426208496094
Anger,25,228,11.280744552612305
Anger,24,7264,11.119394302368164
Anger,24,10476,9.842716217041016
Anger,24,10032,9.602807998657227
Fear,25,3410,14.027563095092773
Fear,23,5214,12.673871994018555
Fear,22,5383,12.21272087097168
Fear,24,8813,10.503430366516113
Fear,25,2584,10.176078796386719
Fear,23,2824,8.31324577331543
Fear,22,5270,7.8046345710754395
Fear,24,8581,7.671226501464844
Fear,19,3951,7.035431385040283
Fear,21,13849,6.514251232147217
Fear,20,7769,6.076975345611572
Fear,25,9564,6.0458831787109375
Disgust,25,11011,12.960077285766602
Disgust,24,4652,10.665539741516113
Disgust,25,4493,8.955728530883789
Disgust,25,14325,7.953865051269531
Disgust,23,11903,7.940500259399414
Disgust,25,14402,7.643135070800781
Disgust,24,10476,7.213922500610352
Disgust,23,4438,7.157042980194092
Disgust,22,14916,6.945316314697266
Disgust,24,6408,6.8360595703125
Disgust,22,5893,6.624624729156494
Disgust,21,4438,6.531136989593506
