feature,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25
L25_F3410,,,,,,,,,,,,,,,,,,,,,,,,,,14.027563095092773
L23_F5214,,,,,,,,,,,,,,,,,,,,,,,,12.673871994018555,,
L22_F5383,,,,,,,,,,,,,,,,,,,,,,,12.21272087097168,,,
L24_F8813,,,,,,,,,,,,,,,,,,,,,,,,,10.503430366516113,
L25_F2584,,,,,,,,,,,,,,,,,,,,,,,,,,10.176078796386719
L23_F2824,,,,,,,,,,,,,,,,,,,,,,,,8.31324577331543,,
L22_F5270,,,,,,,,,,,,,,,,,,,,,,,7.8046345710754395,,,
L24_F8581,,,,,,,,,,,,,,,,,,,,,,,,,7.671226501464844,
L19_F3951,,,,,,,,,,,,,,,,,,,,7.035431385040283,,,,,,
L21_F13849,,,,,,,,,,,,,,,,,,,,,,6.514251232147217,,,,
L20_F7769,,,,,,,,,,,,,,,,,,,,,6.076975345611572,,,,,
L25_F9564,,,,,,,,,,,,,,,,,,,,,,,,,,6.0458831787109375
